Last Name,Frequency
Mullins,0.00033
Benson,0.00033
Sharp,0.00033
Bowen,0.00033
Daniel,0.00033
Barber,0.00032
Cummings,0.00032
Hines,0.00032
Baldwin,0.00032
Griffith,0.00032
Valdez,0.00032
Hubbard,0.00032
Salazar,0.00032
Reeves,0.00032
Warner,0.00031
Stevenson,0.00031
Burgess,0.00031
Santos,0.00031
Tate,0.00031
Cross,0.00031
Garner,0.00031
Mann,0.00031
Mack,0.00031
Moss,0.00031
Thornton,0.00031
Dennis,0.00031
Mcgee,0.00031
Farmer,0.0003
Delgado,0.0003
Aguilar,0.0003
Vega,0.0003
Glover,0.0003
Manning,0.0003
Cohen,0.0003
Harmon,0.0003
Rodgers,0.0003
Robbins,0.0003
Newton,0.0003
Todd,0.0003
Blair,0.0003
Higgins,0.0003
Ingram,0.0003
Reese,0.0003
Cannon,0.0003
Strickland,0.0003
Townsend,0.0003
Potter,0.0003
Goodwin,0.0003
Walton,0.0003
Rowe,0.00029
Hampton,0.00029
Ortega,0.00029
Patton,0.00029
Swanson,0.00029
Joseph,0.00029
Francis,0.00029
Goodman,0.00029
Maldonado,0.00029
Yates,0.00029
Becker,0.00029
Erickson,0.00029
Hodges,0.00029
Rios,0.00029
Conner,0.00029
Adkins,0.00029
Webster,0.00028
Norman,0.00028
Malone,0.00028
Hammond,0.00028
Flowers,0.00028
Cobb,0.00028
Moody,0.00028
Quinn,0.00028
Blake,0.00028
Maxwell,0.00028
Pope,0.00028
Floyd,0.00027
Osborne,0.00027
Paul,0.00027
Mccarthy,0.00027
Guerrero,0.00027
Lindsey,0.00027
Estrada,0.00027
Sandoval,0.00027
Gibbs,0.00027
Tyler,0.00027
Gross,0.00027
Fitzgerald,0.00027
Stokes,0.00027
Doyle,0.00027
Sherman,0.00027
Saunders,0.00027
Wise,0.00027
Colon,0.00027
Gill,0.00027
Alvarado,0.00027
Greer,0.00026
Padilla,0.00026
Simon,0.00026
Waters,0.00026
Nunez,0.00026
Ballard,0.00026
Schwartz,0.00026
Mcbride,0.00026
Houston,0.00026
Christensen,0.00026
Klein,0.00026
Pratt,0.00026
Briggs,0.00026
Parsons,0.00026
Mclaughlin,0.00026
Zimmerman,0.00026
French,0.00026
Buchanan,0.00026
Moran,0.00026
Copeland,0.00025
Roy,0.00025
Pittman,0.00025
Brady,0.00025
Mccormick,0.00025
Holloway,0.00025
Brock,0.00025
Poole,0.00025
Frank,0.00025
Logan,0.00025
Owen,0.00025
Bass,0.00025
Marsh,0.00025
Drake,0.00025
Wong,0.00025
Jefferson,0.00025
Park,0.00025
Morton,0.00025
Abbott,0.00025
Sparks,0.00025
Patrick,0.00024
Norton,0.00024
Huff,0.00024
Clayton,0.00024
Massey,0.00024
Lloyd,0.00024
Figueroa,0.00024
Carson,0.00024
Bowers,0.00024
Roberson,0.00024
Barton,0.00024
Tran,0.00024
Lamb,0.00024
Harrington,0.00024
Casey,0.00024
Boone,0.00024
Cortez,0.00024
Clarke,0.00024
Mathis,0.00024
Singleton,0.00024
Wilkins,0.00024
Cain,0.00024
Bryan,0.00024
Underwood,0.00024
Hogan,0.00024
Mckenzie,0.00023
Collier,0.00023
Luna,0.00023
Phelps,0.00023
Mcguire,0.00023
Allison,0.00023
Bridges,0.00023
Wilkerson,0.00023
Nash,0.00023
Summers,0.00023
Atkins,0.00023
Wilcox,0.00023
Pitts,0.00023
Conley,0.00023
Marquez,0.00023
Burnett,0.00023
Richard,0.00023
Cochran,0.00023
Chase,0.00023
Davenport,0.00023
Hood,0.00023
Gates,0.00023
Clay,0.00023
Ayala,0.00023
Sawyer,0.00023
Roman,0.00023
Vazquez,0.00023
Dickerson,0.00023
Hodge,0.00022
Acosta,0.00022
Flynn,0.00022
Espinoza,0.00022
Nicholson,0.00022
Monroe,0.00022
Wolf,0.00022
Morrow,0.00022
Kirk,0.00022
Randall,0.00022
Anthony,0.00022
Whitaker,0.00022
Oconnor,0.00022
Skinner,0.00022
Ware,0.00022
Molina,0.00022
Kirby,0.00022
Huffman,0.00022
Bradford,0.00022
Charles,0.00022
Gilmore,0.00022
Dominguez,0.00022
Oneal,0.00022
Bruce,0.00022
Lang,0.00021
Combs,0.00021
Kramer,0.00021
Heath,0.00021
Hancock,0.00021
Gallagher,0.00021
Gaines,0.00021
Shaffer,0.00021
Short,0.00021
Wiggins,0.00021
Mathews,0.00021
Mcclain,0.00021
Fischer,0.00021
Wall,0.00021
Small,0.00021
Melton,0.00021
Hensley,0.00021
Bond,0.00021
Dyer,0.00021
Cameron,0.00021
Grimes,0.00021
Contreras,0.00021
Christian,0.00021
Wyatt,0.00021
Baxter,0.00021
Snow,0.00021
Mosley,0.00021
Shepherd,0.00021
Larsen,0.00021
Hoover,0.00021
Beasley,0.0002
Glenn,0.0002
Petersen,0.0002
Whitehead,0.0002
Meyers,0.0002
Keith,0.0002
Garrison,0.0002
Vincent,0.0002
Shields,0.0002
Horn,0.0002
Savage,0.0002
Olsen,0.0002
Schroeder,0.0002
Hartman,0.0002
Woodard,0.0002
Mueller,0.0002
Kemp,0.0002
Deleon,0.0002
Booth,0.0002
Patel,0.0002
Calhoun,0.0002
Wiley,0.0002
Eaton,0.0002
Cline,0.0002
Navarro,0.0002
Harrell,0.0002
Lester,0.0002
Humphrey,0.0002
Parrish,0.0002
Duran,0.0002
Hutchinson,0.0002
Hess,0.0002
Dorsey,0.0002
Bullock,0.0002
Robles,0.0002
Beard,0.00019
Dalton,0.00019
Avila,0.00019
Vance,0.00019
Rich,0.00019
Blackwell,0.00019
York,0.00019
Johns,0.00019
Blankenship,0.00019
Trevino,0.00019
Salinas,0.00019
Campos,0.00019
Pruitt,0.00019
Moses,0.00019
Callahan,0.00019
Golden,0.00019
Montoya,0.00019
Hardin,0.00019
Guerra,0.00019
Mcdowell,0.00019
Carey,0.00019
Stafford,0.00019
Gallegos,0.00019
Henson,0.00019
Wilkinson,0.00019
Booker,0.00019
Merritt,0.00019
Miranda,0.00019
Atkinson,0.00019
Orr,0.00019
Decker,0.00019
Hobbs,0.00019
Preston,0.00019
Tanner,0.00019
Knox,0.00019
Pacheco,0.00019
Stephenson,0.00018
Glass,0.00018
Rojas,0.00018
Serrano,0.00018
Marks,0.00018
Hickman,0.00018
English,0.00018
Sweeney,0.00018
Strong,0.00018
Prince,0.00018
Mcclure,0.00018
Conway,0.00018
Walter,0.00018
Roth,0.00018
Maynard,0.00018
Farrell,0.00018
Lowery,0.00018
Hurst,0.00018
Nixon,0.00018
Weiss,0.00018
Trujillo,0.00018
Ellison,0.00018
Sloan,0.00018
Juarez,0.00018
Winters,0.00018
Mclean,0.00018
Randolph,0.00018
Leon,0.00018
Boyer,0.00018
Villarreal,0.00018
Mccall,0.00018
Gentry,0.00018
Carrillo,0.00017
Kent,0.00017
Ayers,0.00017
Lara,0.00017
Shannon,0.00017
Sexton,0.00017
Pace,0.00017
Hull,0.00017
Leblanc,0.00017
Browning,0.00017
Velasquez,0.00017
Leach,0.00017
Chang,0.00017
House,0.00017
Sellers,0.00017
Herring,0.00017
Noble,0.00017
Foley,0.00017
Bartlett,0.00017
Mercado,0.00017
Landry,0.00017
Durham,0.00017
Walls,0.00017
Barr,0.00017
Mckee,0.00017
